Row Labels,Sum of Amount
"PREMIER PAPER MILLS LTD 23 AHMED BLOCK, NEW GARDEN TOWN LAHORE-PAKISTAN "," 2,542,621.49 "
"MULTAN HIDE CO (PVT) LTD., HUMAYUN ROAD, P.O. BOX-36 MULTAN, PAKISTAN"," 1,344,225.48 "
30," 1,267,472,171.20 "
"Q-TEX 25 ZENAT MARKET, RAIL BAZAR, GUJRANWALA, PAKISTAN. "," 886,408,416.03 "
USMAN ENTERPRISES ABU BAKAR BLOCK GALI SINDH PANJAB NEAR RAIL BAZAR GUJRANWALA," 172,753,615.37 "
KHAWAJA MUTAHIR KALEEM RAIL BAZAR GUJRANWALA 055-218701-2," 72,447,828.56 "
WAHEED ENTERPRISES BANK SQUARE YASIR CLOTH MARKET FIRST FLOOR GUJRANWALA PAKISTAN," 52,186,306.74 "
KHAWAJA MUTAHIR KALEEM M/S KHAWAJA MUTAHIR KALEEM RAIL BAZAR GUJRANWALA ," 26,890,868.37 "
M/S ALLIED TEXTILE TRADERS HOUSE NO 17 BLOCK B 1 WAPDA TOWN GUJRANWALA 03316118783," 26,823,954.72 "
OLYMPIA INDUSTRIES PVT LTD  C F PLD 23 - DAVIS ROAD LAHORE PAKISTAN," 21,880,359.54 "
M/S  KH MUTAHIR KALEEM RAIL BAZAR GUJRANWALA. PK," 4,173,742.24 "
ASHRAF INDUSTRIES G.T.ROAD REHWALI GUJRANWALA opics," 2,834,365.25 "
TARIQ GLASS INDUSTRIES LIMITED HEAD OFFICE 128-J MODEL TOWN PAKISTAN," 1,072,714.38 "
44," 1,228,828,451.00 "
FAUJI FERTILIZER BIN QASIM LTD. 93-HARLEY STREET RAWALPINDI PK," 1,228,828,451.00 "
18," 1,011,677,788.63 "
"S. J STEEL RE ROLLING MILLS DATA PARK BUS STOP, NEAR ASHIQ PEHIWAN COLD STORAGE GATE NO.1 NEAR DAROGHAWALA CHOWK G.T. ROAD,"," 660,741,896.35 "
SHAHEEN STEEL MILLS FURNACE NEAR CHAHAL KALAN GRID STATION QILA DIDAR SINGH GUJRANWALA," 75,129,905.35 "
