,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
130,3388313.84,1694156.92,25,1612868.679,T AND C GARMENTS SAE,INDIGO TEXTILE PVT LTD,2,0
131,58107319.86,8301045.694,25,6740979.53,T AND C GARMENTS SAE,NAVEENA EXPORTS LTD.,7,0
132,23819569.5,3969928.25,14,373548.7936,TOP STAR COMPANY LTD,EM FOOD,6,0
133,4293733.34,2146866.67,14,2070511.978,TOP STAR COMPANY LTD,M/S SPORTS PARK INTERNATIONAL,2,0
134,42968833.56,3906257.596,21,1525566.445,THE SOFT BEDDING COMPANY LTD,ALLAH TAWAKAL TEXTILE,11,0
135,2726556.64,2726556.64,21,,THE SOFT BEDDING COMPANY LTD,SHERCOTEX,1,1
136,5419256.04,5419256.04,29,,WESTERN PONT,HEAVEN INTERNATIONAL,1,0
137,1360736.41,1360736.41,29,,WESTERN PONT,M/S BRIGHT WAY ENTERPRISES,1,0
138,69069833.32,9867119.046,14,4181973.24,ZAKIA ABDUL REHMAN BIN SAFEER UDDIN,FAIR EXPORT DEAL,7,0
139,43665891.39,7277648.565,14,2067995.308,ZAKIA ABDUL REHMAN BIN SAFEER UDDIN,SHAREEF COMMODITIES,6,0
140,73408174.2,4893878.28,30,3671322.551, KOMEX SPOLKA,MULTAN FABRICS PVT LIMITED,15,0
141,7163344.54,3581672.27,5,396563.0616,SUPER ASIA FOODS AND SPICES LTD,GOLDEN HARVEST FOOD PVT LTD,2,0
142,1677139.2,1677139.2,5,,SUPER ASIA FOODS AND SPICES LTD,MITCHELL'S FRUIT FARMS LTD,1,0
143,1601911331,6619468.309,31,1128410.491,SUNWEAR FASHION LLC,CHAUDHRY ENTERPRISES,242,0
144,12270254.37,6135127.185,31,287354.98,SUNWEAR FASHION LLC,CHOUDHERY ENTERPRISES,2,0
145,398898648.9,6043918.922,32,908256.6213,SUNTEES INC,SIDDIQUE & SONS,66,0
146,80844451.13,6218803.933,32,685295.696,SUNTEES INC,SIDIQUE & SONS,13,0
147,6724091.3,6724091.3,13,,VINGA OF SWEDEN,GUL AHMED TEXTILE MILLS LTD.,1,1
148,13370593.94,2674118.788,13,782562.1375,VINGA OF SWEDEN,M/S HAROON CORPORATION,5,0
149,3977964.54,3977964.54,17,, FAYHA DAHAL ALMUTAIRY TRADING E,KHAN ENTERPRISES,1,0
150,31799418.75,4542774.107,17,1632435.28, FAYHA DAHAL ALMUTAIRY TRADING E,MANSHA KHAN LEATHER MERCHANT,7,0
151,19246786.56,2138531.84,4,692013.1781,VINCO INT LLC,AMIL EXPORTS (PVT) LTD,9,0
152,16156510.83,2692751.805,4,710309.2023,VINCO INT LLC,VINCO INTERNATIONAL,6,0
153,1132068.96,1132068.96,10,,VISAGE LTD,GALAXY KNITWEAR COMPANY,1,0
154,10237148.66,10237148.66,18,, BA BI IMMOBILIARE SRL,LEADER TANNERIES,1,0
155,158094613.7,10539640.91,18,1864729.257, BA BI IMMOBILIARE SRL,MULTAN HIDE CO PVT LTD,15,0
156,51221550.24,10244310.05,4,522973.1414, FARO S ZIELINSKI K PUTANOWICZ,KAMAL LIMITED,5,0
157,16655539.42,3331107.884,4,183266.7999, FARO S ZIELINSKI K PUTANOWICZ,M/S.MULTAN INDUSTRIES,5,0
158,16482289.89,8241144.945,33,3236039.26,TEXTELA ZONA LIBRE SA,I J TEX,2,0
159,4670726.14,1167681.535,29,469920.7042,ZEE TAQ LTD,ATTAULLAH KNITWEARS,4,0
160,3184552.18,1061517.393,29,373698.0972,ZEE TAQ LTD,M/S BRIGHT WAY ENTERPRISES,3,0
161,49772774.5,4977277.45,14,0, AKHTAR'S ENTERPRISES LTD,MARVEL AGRO COMMODITIES,10,0
162,16801790.15,5600596.717,14,131411.6766, AKHTAR'S ENTERPRISES LTD,RICECO INDUSTRIES,3,0
163,1152056.27,1152056.27,2,,UNIQUE WAY CARGO LLC,A I TEXTILES,1,0
164,5450702.4,5450702.4,2,,UNIQUE WAY CARGO LLC,DIAMOND FABRICS,1,1
165,1895272.12,1895272.12,17,, LASER MEAT TRADING EST,P.K LIVESTOCK AND MEAT CO.PVT LTD.,1,0
166,2399357.27,2399357.27,17,, LASER MEAT TRADING EST,THE ORGANIC MEAT COMPANY PVT LTD,1,0
167,29631290.78,9877096.927,12,3893488.836,TEXTIGLOBAL SA,BHARARA TEXTILES,3,0
168,7967421.68,7967421.68,12,,TEXTIGLOBAL SA,TAIMOOR IMPEX,1,0
169,1112677.04,1112677.04,11,,SUNDAR SINGH JASBIR SINGH,GEO CON,1,0
170,589619.25,589619.25,11,,SUNDAR SINGH JASBIR SINGH,SHAMA FRUIT CO,1,0
171,7630983.36,7630983.36,1,, FATIMA TRADING CO PO BOX NO,DIAMOND FABRICS,1,0
172,4218843.66,4218843.66,1,, FATIMA TRADING CO PO BOX NO,KAMRAN TEXTILES PVT LTD,1,0
173,625688.22,625688.22,3,,SUMMARY AG,PEAK GARMENTS PVT LTD,1,0
174,2987241.73,1493620.865,3,944934.5598,SUMMARY AG,RAJCO INDUSTRIES,2,0
175,208338495.6,7716240.576,10,3952252.095,Z AND R TRADING INC,M/S W.BROTHERS SITUATED AT,27,0
176,12311324.36,6155662.18,10,1997640.028,Z AND R TRADING INC,SKY INDUSTRIES,2,0
177,39446657.79,3034358.292,2,1610409.078, KID INTERIOR AS,AFROZE TEXTILE INDUSTRIES (PVT.) LT,13,1
178,16039432.9,16039432.9,2,, KID INTERIOR AS,THE CRESCENT TEXTILE MILLS LTD,1,0
179,6442726.04,2147575.347,18,1909569.408, FRACOPEL SPA,M.S LEATER COORDINATOR,3,0
180,19716427.47,4929106.868,18,4796573.907, FRACOPEL SPA,MULTAN HIDE CO PVT LTD,4,0
181,1054501.27,1054501.27,34,, FOUR FRIENDS,JAN TRADERS,1,0
182,5946090.54,5946090.54,21,,VI SIGMA SUNTECH TOWER SUITE 706,COSY INTERNATIONAL PVT LTD,1,0
183,1858741.81,1858741.81,21,,VI SIGMA SUNTECH TOWER SUITE 706,KHAWAJA COTTON INDUSTRIES,1,0
184,8747748.42,2915916.14,5,35221.79011, FLYING TRADE LTD,GOLDEN HARVEST FOOD PVT LTD,3,0
185,85534099.2,42767049.6,5,0, FLYING TRADE LTD,SARWAR FOODS,2,0
186,31866156.33,3540684.037,35,1136154.44, CHINA NATIONAL TOWNSHIP,AL NOOR INTERNATIONAL,9,0
187,11897206.2,2974301.55,35,1263211.439, CHINA NATIONAL TOWNSHIP,SUPREME AGRO INDUSTRIES,4,0
