Amount,Applicant,Average,Beneficiary,Community_ID,Deviation,Frequency,Linkage
4457674.57,"M/S.BUTT BROTHERS HOUSE.NO.322-GG , PHASE 4 DHA LAHORE. ",4457674.57,FOSHAN JUNJING INDUSTRIAL CO LTD 4F JINQIAO BUILDING HUA YUAN ROAD EAST FOSHAN GUANGDONG CHINA ,11,,1,0
5768565.35,"M/S.BUTT BROTHERS HOUSE.NO.322-GG , PHASE 4 DHA LAHORE. ",2884282.675,HAKAN PLASTIC BORU VE PROFIL SAN TIC AS KIRAC CAKMAKLIMAH MAH HADIMKOY YOLU 2KM NO34 BCEKMECE ISTANBUL TURKEY,11,516434.7659,2,0
194076.45,"M/S.BUTT BROTHERS HOUSE.NO.322-GG , PHASE 4 DHA LAHORE. ",194076.45,LINYI SHUKERAN INTERNATIONAL TRADE CO LTD 26F TOWER ONE TIME SQUARE 1 MATHESON STREET CAUSEWAY BAY HK ,11,,1,0
1149630.52,"M/S.BUTT BROTHERS HOUSE.NO.322-GG , PHASE 4 DHA LAHORE. ",574815.26,MDK CORPORATION CO LTD KANAWAZA 0005 KANAZAWASHI ISHIKAWA JAPAN ,11,276260.5949,2,0
4002667.75,"M/S.BUTT BROTHERS HOUSE.NO.322-GG , PHASE 4 DHA LAHORE. ",2001333.875,ZIBO DITA TRADING CO LTD NO68 ZHONGRUN ROAD ZIBO CITY 255000 SHANDONG CHINA ,11,1453333.998,2,0
1536836.02,"M/S.BUTT BROTHERS HOUSE.NO.322-GG , PHASE 4 DHA LAHORE. ",1536836.02,ZIBO YUEHAIJIN TRADE CO LTD RM 2102 BLDG 2 NEW WORLD SQUARE LIUQUAN RD ZHANGDIAN DIST CITY SHANDONG PROVINCE CHINA,11,,1,0
584315.3,"OMYAPACK PRIVATE LIMITED SHAHRAH E ROOMI P O AMER SINDU LAHORE, PAKISTAN",584315.3,CHANGSHU COATEX ADDITIVES CO LTDC 18 HAINING RD FUSHAN HAYU TOWN CHANGSHU JIANGSU CHINA 215522,142,,1,0
14031806.08,"OMYAPACK PRIVATE LIMITED SHAHRAH E ROOMI P O AMER SINDU LAHORE, PAKISTAN",1275618.735,OMYA INTERNATIONAL AG PO BOX BASLERSTRASSE 42 CH4665 OFTRINGEN ,142,1033051.895,11,0
4267166.24,"DH TRADERS 221-KAMRAN BLOK, ALLAMA IQBAL TOWN LAHORE PAKISTAN. ",2133583.12,AONAWEI CHINA LIMITED ROOM 01 21F PROSPER COMMERCIAL BLDG 9 YIN CHONG STREET KOWLOON HK,11,1314366.083,2,0
1044752.9,"DH TRADERS 221-KAMRAN BLOK, ALLAMA IQBAL TOWN LAHORE PAKISTAN. ",522376.45,FOSHAN EASTSUN IMPORT AND EXPORT CO LTD RM306 FLR 3 BLK 26 TAOBAO BOULEVARD NANZHUANG TOWN CHANGCHENG DIST FOSHAN CHINA,11,2297.715201,2,0
777525.93,"DH TRADERS 221-KAMRAN BLOK, ALLAMA IQBAL TOWN LAHORE PAKISTAN. ",777525.93,FOSHAN HEXIN CHUANGZHAN CERAMICS COMPANY LIMITED QING TONG DEVELOPMENT ZONE BAINI TOWNDISTRICTFOSHANCHINA,11,,1,0
2169798.84,"DH TRADERS 221-KAMRAN BLOK, ALLAMA IQBAL TOWN LAHORE PAKISTAN. ",2169798.84,HANGZHOU FUMEI IMP AND EXP CO LTD FLOOR 2 NO 449 SHANGMAO STREET GUAL ,11,,1,0
9771306.47,"DH TRADERS 221-KAMRAN BLOK, ALLAMA IQBAL TOWN LAHORE PAKISTAN. ",1395900.924,HANGZHOU GREEDAY IMP AND EXP CO LTD 156 NORTH SHIXIN RD XIAOSHAN DIST H ,11,550224.7027,7,0
